DRUG_ID,COSMIC_ID,FOLD_RANGE_x,MAX_CONC_x,fd_num_0_x,fd_num_1_x,fd_num_2_x,fd_num_3_x,fd_num_4_x,fd_num_5_x,fd_num_6,fd_num_7,norm_cells_0_x,norm_cells_1_x,norm_cells_2_x,norm_cells_3_x,norm_cells_4_x,norm_cells_5_x,norm_cells_6,norm_cells_7,param_1_x,param_2_x,param_3_x,param_4_x,DILUTION_FACTOR_y,MAX_CONC_y,fd_num_0_y,fd_num_1_y,fd_num_2_y,fd_num_3_y,fd_num_4_y,fd_num_5_y,norm_cells_0_y,norm_cells_1_y,norm_cells_2_y,norm_cells_3_y,norm_cells_4_y,norm_cells_5_y,param_1_y,param_2_y,param_3_y,param_4_y
1373,946359,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,1,1,1,1,-4.342314668,4744.818841,-5.060534471,1,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.877164449,0.991086595,0.786238672,0.99235479,0.768154834,1.037992484,0.679974126,-65.28427011,-0.541274677
1373,905951,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.908661431,0.895690511,0.941068652,0.895690511,0.837381607,0.905408661,0.999377556,-0.028532764,-0.417410533,-86.40363084,0.911896936,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,1,0.936665214,0.731560187,0.779709756,1,0.316876635,6.13835764,-82.7606586,0.837089977
1373,906826,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,0.870401428,0.8285744,0.733038505,0.825576179,0.477253358,4.726266958,-20.61410645,0.791771914,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.756264371,0.860948202,0.569347496,0.480564303,0.651718314,0.384210238,3.202821798,-32.690788,0.565995643
1373,910927,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,0.984241775,0.867376214,0.879256687,0.863424239,0.571048813,7.693434394,-156.8644195,0.870019038,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,1,0.917373677,0.604606628,0.527978063,0.579994237,0.374911274,2.235193456,-16.10037844,0.554049883
1373,910852,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,0.962822374,0.920374313,1,0.920374313,0.538016192,18.83814627,-113.272487,0.946916224,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.919739762,1,0.85623931,0.921895316,1,-0.022148514,-0.636360988,-128.4088959,0.93957488
1373,906812,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.931840815,1,1,0.89115315,1,0.984212876,1,-0.031599184,-0.54324581,-114.1328847,0.972458124,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.887317769,0.929087517,0.773338831,0.71080586,0.858110568,0.339079808,6.138466214,-88.02067913,0.780751744
1373,906862,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,0.918973384,0.986773961,1,1,1,1,0.159941553,63.64711191,-217.5938225,0.984291226,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,1,1,1,0.945958212,1,0.602613559,37.00838782,-126.2450751,0.972979099
1373,749711,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.973984048,0.949065026,0.94855017,0.980213804,0.940750104,0.872197049,0.762120871,0.803435327,3.474824769,-11.30911591,0.683487536,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,1,0.980789028,0.972822982,1,0.915112201,1.025086788,1.595039909,-60.58366796,0.363778967
1373,749712,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,1,0.911884773,0.893358159,0.982270399,0.598465478,14.11853571,-281.8199694,0.929171125,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.793112571,0.999007008,0.787682068,0.720619929,0.954542005,-0.017470356,-2.565867308,-127.5012961,0.850992693
1373,907045,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.98155771,1,0.98884354,1,0.999761006,0.985211903,0.977926073,0.829903209,58.47621525,-160.3030812,0.977926075,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,1,1,0.495997242,0.990397832,0.715513135,0.393442823,3.758948586,-145.2820577,0.733969391
1373,749709,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,1,1,1,1,-4.342314668,4744.818841,-5.060534471,1,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,1,0.969155076,0.936277862,0.932746832,1,0.289652031,22.90508109,-91.79699956,0.956341565
1373,749717,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.945649735,0.924426012,1,1,1,1,1,-0.00467176,-0.006768025,0.040295031,-0.043973872,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,1,1,1,1,1,-3.655459714,15456.95791,-5.914921649,1
1373,1290922,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.986203718,0.929948175,1,1,0.958075946,0.913118588,0.778128822,0.880717649,2.906737209,-12.10792551,0.63830963,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.896660639,0.92157877,0.911537999,0.781423774,1,-0.021759366,-1.305284765,-112.3800322,0.902240167
1373,905957,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,0.744281192,0.942105264,0.631253693,0.627102086,1,1,0.182054598,5.685783196,-197.1977124,0.82412371,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,1,1,0.989236669,1,1,0.36020983,278.7237054,-147.7956857,0.996412218
1373,1298157,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,0.979537164,0.976389035,0.951320604,0.966983515,0.327369274,24.58291605,-11.58943924,0.96026059,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.944260835,0.817214702,0.593716859,0.443066949,0.798671737,0.324908121,2.775373179,-87.67959102,0.611818512
1373,905946,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,1,0.8251104,0.891569416,0.787877536,0.607152181,6.05519151,-231.3732384,0.834852457,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.993580698,1,0.993645214,1,0.613448614,1.01836073,0.692060187,-75.39909145,-0.447515819
1373,1330941,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.916833038,0.943691566,0.836351037,0.818476546,0.818476546,0.916833038,0.961566057,-0.126479721,4.886112948,-9.551158482,0.876348721,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.992479401,0.980792251,0.846268201,0.778510318,0.826966482,0.390135245,5.188620808,-17.69356573,0.802808664
1373,1240172,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,1,1,1,1,-4.342314668,4744.818841,-5.060534471,1,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,1,0.818375703,0.761373361,0.773456755,1,0.172294906,6.184347354,-135.6688537,0.83830145
1373,908123,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,1,0.878033756,0.853482353,0.709697009,0.896861466,1.758719706,-6.199316071,0.439884013,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,1,1,0.854807575,1,0.91398451,0.383700454,12.97525629,-142.9013201,0.922930698
1373,910948,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,0.99553357,0.865383332,0.937533356,1,0.570795402,15.22198999,-163.7317402,0.934305569,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,1,0.940481228,0.714653787,0.647269719,0.942379243,0.329062296,4.312220587,-93.19303019,0.768100917
1373,909256,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,1,0.985152442,1,0.809302683,1.030822455,0.501459467,-95.68932196,-0.996300139,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.957509308,0.859718545,0.875881932,0.80766895,0.856779692,-0.008102517,5.29992152,-10.91489513,0.844337903
1373,905945,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,0.994613813,0.955405031,0.907150944,0.771471365,1.299451335,0.696485501,-6.72433785,-0.433094325,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.974004164,1,0.926231957,0.810661338,0.842006509,0.541021598,6.060576442,-94.51083997,0.82633391
1373,909778,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,0.929682994,0.831204537,0.958833341,1,0.453442677,14.27148564,-291.1029681,0.92993021,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,1,1,1,1,1,-3.655459714,15456.95791,-5.914921649,1
1373,909907,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,0.970124809,0.96185926,1,1,1,0.295928205,73.51218717,-436.0239029,0.986396813,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.983621749,0.975415309,0.970666872,0.900819479,0.918956306,0.541404469,13.07910873,-85.93183783,0.90988788